,0,1,2,3,4,5,6
1,9801.60506329114,12713.495,13651.67088607595,13534.382500000005,13443.399999999998,13369.043037974685,10885.948717948719
2,9473.420253164555,11993.0625,12777.9164556962,12639.772500000005,12933.448101265825,12610.164556962023,11006.205128205127
3,9122.075949367087,11711.522499999995,12238.908860759497,11873.56,12639.640506329111,12326.086075949363,10800.841558441558
4,9203.67088607595,11074.209999999995,11665.4,11570.8475,12309.999999999995,11327.253164556963,10228.97435897436
5,9009.372151898737,10812.399999999998,11572.878481012656,11517.605,12135.463291139238,11113.354430379746,9976.579487179486
6,9147.518987341773,10866.599999999997,11753.46835443038,11738.5475,11943.536708860756,11001.091139240509,9804.628205128205
7,9379.260759493673,11825.320000000005,12087.918987341773,12456.28,13087.34430379747,11182.830379746836,9963.83076923077
8,10154.934177215191,13707.375,12764.450632911394,13089.749999999998,14462.402531645568,11219.040506329111,9905.035897435895
9,14582.088607594937,17108.03,18339.8582278481,18108.1925,18745.55443037975,14459.749367088609,12562.40512820513
10,14292.673417721517,16791.707499999997,19118.151898734173,18214.742500000004,18759.205063291134,15791.678481012654,12670.497435897441
11,14600.645569620254,18018.7675,20214.66835443038,18934.577500000007,18739.26329113924,16453.903797468356,13733.817948717946
12,14826.063291139244,17816.249999999996,19157.18734177215,18715.0025,18743.997468354428,16642.078481012657,14078.407692307694
13,14931.346835443042,17320.120000000006,19246.80506329114,18872.31,18100.69873417721,16370.554430379743,14346.289743589743
14,15360.597468354432,17495.125,18372.356962025315,19211.23,18574.15443037976,16467.858227848097,14750.166666666672
15,14742.724050632914,16929.235,17946.974683544304,19499.7075,18321.232911392406,16346.875949367091,14245.920512820516
16,14855.182278481014,17475.592500000002,17640.134177215194,19667.692500000005,17748.6,16043.326582278483,14199.75384615385
17,15169.962025316456,17353.364999999998,17864.45569620253,19345.4425,17479.098734177212,15972.326582278483,13410.399999999996
18,14661.891139240513,17650.375,18856.58987341772,19414.3275,17651.169620253164,16616.035443037974,14060.635897435901
19,14757.688607594937,17829.96,19456.19240506329,18511.385,18153.78481012658,17054.911392405058,14647.72564102564
20,14725.675949367087,18064.875000000004,19229.412658227848,18814.8775,18408.787341772157,17331.3088607595,14714.7
21,10306.34936708861,18271.25,18610.6582278481,18274.2425,18060.987341772157,16944.86329113924,14062.084615384616
22,10575.921518987343,18283.585,19151.445569620257,19168.845,16990.967088607602,16773.820253164555,14400.941025641028
23,10597.825316455699,18279.975,18455.073417721524,18438.9075,16299.382278481016,15937.270886075947,14732.648717948718
24,8096.703797468354,14384.227500000005,13903.316455696202,14048.515,12535.643037974685,12576.126582278479,10445.5358974359
